module_name,function_name,total_quantity,times_used
fs,stat,1146339,336
fs,readFile,913936,336
fs,readdir,503594,336
fs,mkdir,59265,336
fs,lstat,818371,336
fs,readstream,61743,201
fs,close,67209,47
fs,rmdir,77126,56
fs,unlink,61075,70
fs,createReadStream,9009,79
fs,access,7859,71
fs,mkdtemp,775,5
fs,open,65352,50
fs,write,35368,19
fs,createWriteStream,3007,43
fs,writestream,183426,71
fs,realpath,136536,51
fs,fstat,218,11
fs,read,10188,24
fs,chmod,9747,29
fs,writeFile,11975,67
fs,readlink,127493,15
fs,copyFile,806,6
fs,utimes,3706,12
fs,futimes,966,8
fs,link,115,8
fs,appendFile,1078,12
fs,lchown,10,4
fs,rename,33951,18
fs,chown,129,5
fs,fsync,35540,4
fs,exists,11902,30
fs,watch,18030,19
fs,on,18299,16
fs,symlink,169,7
fs,watchFile,522,2
crypto,randomBytes,451639,336
crypto,createHash,1311941,248
crypto,createHmac,40944,15
crypto,createCipheriv,583,6
crypto,createDecipheriv,590,6
crypto,pbkdf2,276,2
child_process,spawn,10426,336
child_process,childprocess,90193,336
child_process,fork,3024,131
child_process,exec,879,36
child_process,execFile,242,17
child_process,spawn,10426,336
child_process,childprocess,90193,336
child_process,fork,3024,131
child_process,exec,879,36
child_process,execFile,242,17
cluster,fork,24,2
cluster,on,24,2
cluster,disconnect,1,1
cluster,once,48,1
dns,resolve,6,2
dns,resolve4,2,1
dns,reverse,194,2
dns,lookup,40,4
dns,resolveTxt,180,2
dns,resolveSrv,46,1
dns,Resolver,1,1
http,once,38795,84
http,end,40643,110
http,write,30458,57
http,request,30141,70
http,on,129395,97
http,get,1302,26
http,close,5534,70
http,createServer,8404,77
http,listen,6698,75
http,Agent,964,19
http,setTimeout,13594,14
http,Server,266,4
http,getConnections,30,1
http,prependListener,3,1
http,addListener,51,1
https,request,1414,62
https,createServer,391,15
https,Agent,910,17
https,get,13,3
net,createConnection,7960,25
net,setTimeout,18211,36
net,once,41946,42
net,connect,1770,34
net,on,25713,69
net,write,468404,37
net,end,3772,35
net,Socket,617,16
net,createServer,2082,41
net,listen,2156,42
net,close,2126,33
net,prependListener,18,3
net,Server,90,2
net,prependOnceListener,3,1
stream,_transform,39005,4
stream,on,351,3
util,promisify,207261,47
zlib,createInflateRaw,234,17
zlib,zlibtransforminterface,23115,49
zlib,createDeflate,159,6
zlib,gzip,43,11
zlib,createInflate,79,4
zlib,createGunzip,86,14
zlib,createGzip,126,10
zlib,createUnzip,218,18
zlib,gunzip,26,3
zlib,deflate,21,4
zlib,deflateRaw,4,2
zlib,brotliCompress,1,1
zlib,createBrotliDecompress,82,3
zlib,unzip,4,1
zlib,inflate,11,2
zlib,createDeflateRaw,3,1
