project_name,total_quantity,child_process,cluster,crypto,dgram,dns,eventEmitter,fs,http,http2,https,net,process,readline,repl,stream,tls,util,zlib,cb,ro,oc,op,co,rp,dd
19majkel94_type-graphql,9659,305,0,8710,0,0,0,557,0,0,0,0,0,0,0,0,0,63,0,754,8818,0,0,0,0,24
Automattic_mongoose,86,5,0,2,0,0,0,37,0,0,0,42,0,0,0,0,0,0,0,84,8,0,0,0,0,0
Automattic_wp-calypso,258073,8350,0,230969,0,0,0,13903,2380,0,482,0,0,0,0,0,0,0,0,25054,231515,0,0,485,0,1989
Codeception_CodeceptJS,3057,148,0,8,0,0,0,173,0,0,0,0,0,0,0,0,0,18,0,317,148,0,0,0,0,2710
GoogleChrome_puppeteer,56520,238,0,16411,0,0,0,2099,4485,0,1,33010,0,0,0,0,0,40,25,56103,308,0,0,75,0,211
Gottwik_enduro,86923,15,0,460,0,2,0,79580,2290,0,4,14,0,0,0,0,0,0,720,67893,15356,2,0,164,0,3838
HabitRPG_habitica,48034,16,0,1857,0,0,0,45037,4,0,2,0,0,0,0,0,0,0,0,46154,768,4,0,2,0,1118
IndigoUnited_node-proper-lockfile,4079,16,17,61,0,0,0,3691,0,0,0,0,0,0,0,0,0,0,0,3665,120,0,0,0,0,294
Javascipt_Jsome,240,53,0,21,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,97,31,0,0,0,0,112
Leonidas-from-XIV_node-xml2js,500,195,0,1,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,180,289,0,0,0,0,31
Level_levelup,4835,9,0,360,0,0,0,3953,0,0,0,0,0,0,0,0,0,0,0,3368,954,0,0,0,0,513
MrRio_vtop,174,32,0,19,0,0,0,86,4,0,1,0,0,0,0,0,0,0,0,126,46,0,0,1,0,32
NaturalNode_natural,43,3,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0
OptimalBits_bull,23743,249,0,6037,0,0,0,150,0,0,0,17287,0,0,0,0,0,20,0,18527,6597,0,0,0,0,0
PhilWaldmann_openrecord,869,12,0,728,0,0,0,111,11,0,0,4,0,0,0,0,0,0,0,143,728,0,0,2,0,3
QingWei-Li_docsify,50,5,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41,6,0,0,0,0,3
SGrondin_bottleneck,53,7,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,0,0,8
Swaagie_minimize,97,5,0,54,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,95,2,0,0,0,0,0
TelescopeJS_Telescope,573,109,0,40,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,193,85,0,0,0,0,295
Tjatse_node-readability,335,5,0,1,0,0,0,99,71,0,8,0,0,0,0,0,0,0,151,325,29,0,0,19,0,0
TryGhost_Ghost,87831,7,0,71737,0,0,0,12807,2039,0,3,0,0,0,0,0,0,0,1203,85319,2788,0,0,311,0,35
Unitech_pm2,5539,15,0,20,0,0,0,4241,13,0,3,795,0,0,0,0,0,444,8,4933,173,140,0,11,0,0
VictorBjelkholm_trymodule,16172,14,0,62,0,0,0,15978,96,0,14,6,0,0,0,0,0,0,2,16152,30,6,0,8,0,0
Vincit_objection.js,172739,12,0,142532,0,0,0,144,0,0,0,30051,0,0,0,0,0,0,0,172210,569,35,0,0,0,0
actionhero_actionhero,46698,1004,0,24440,0,0,0,11265,2813,0,0,5958,0,0,0,0,0,24,9,12727,33451,0,0,207,0,1185
airbnb_hypernova,2142,32,0,1341,0,0,0,765,4,0,0,0,0,0,0,0,0,0,0,796,1348,0,0,2,0,0
alanshaw_david,18805,12,0,10,0,0,0,18677,6,0,2,0,0,0,0,0,0,0,0,18667,49,0,0,2,0,98
alexfernandez_loadtest,3660,9,0,734,0,0,0,77,2840,0,0,0,0,0,0,0,0,0,0,2925,1155,0,0,420,0,0
almost_through2-concurrent,43,5,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0
andris9_Nodemailer,32215,3,0,3446,0,192,0,2280,2476,0,23,20060,0,0,0,0,0,0,20,26239,2777,0,0,240,0,3715
andywer_leakage,96,13,0,2,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,91,5,0,0,0,0,0
animir_node-rate-limiter-flexible,295,3,0,105,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,190,105,0,0,0,0,0
apache_couchdb-nano,9307,15,0,557,0,0,0,910,7819,0,0,0,0,0,0,0,0,0,0,9275,1122,0,0,1096,0,6
apostrophecms_apostrophe,1594,9,0,1418,0,0,0,150,5,0,1,0,0,0,0,0,0,0,11,178,1417,0,0,1,0,0
ashtuchkin_iconv-lite,43,5,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0
avajs_ava,213788,4333,0,6105,0,0,0,184442,0,0,0,0,0,0,0,0,0,0,0,183037,11848,0,0,0,0,18908
axa-group_nlp.js,78071,1018,0,74799,0,0,0,1799,0,0,0,0,0,0,0,0,0,0,12,2766,74862,0,0,0,0,443
baconjs_bacon.js,250,16,0,90,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,158,92,0,0,0,0,0
badges_shields,4777,154,0,274,0,0,0,861,1378,0,16,2046,0,0,0,0,0,0,32,4591,873,80,0,703,0,16
balderdashy_waterline,122,11,0,3,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,118,4,0,0,0,0,0
bbc_flashheart,5755,100,0,516,0,0,0,750,4295,0,88,6,0,0,0,0,0,0,0,5477,739,22,0,461,0,0
bbc_sqs-consumer,181,20,0,11,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,167,14,0,0,0,0,0
bcoe_nyc,62198,392,0,498,0,0,0,59263,0,0,0,0,0,0,0,0,0,1073,0,59361,792,0,0,0,0,972
beatfreaker_subdownloader,45,4,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,43,2,0,0,0,0,1
bee-queue_bee-queue,116607,269,0,72,0,0,0,2876,0,0,0,113390,0,0,0,0,0,0,0,116499,963,0,0,0,0,0
bestiejs_benchmark.js,40,3,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0
bitcoinjs_bitcoinjs-lib,9169,41,0,8079,0,0,0,947,0,0,0,0,0,0,0,0,0,102,0,997,8070,0,0,0,0,0
bitinn_node-fetch,1139,15,0,1,0,4,0,46,1012,0,1,0,0,0,0,0,0,0,53,1103,182,5,0,153,0,7
bokub_gradient-string,4641,84,0,90,0,0,0,4467,0,0,0,0,0,0,0,0,0,0,0,4545,96,0,0,0,0,0
bookshelf_bookshelf,1812,6,0,1654,0,0,0,72,0,0,0,80,0,0,0,0,0,0,0,1536,286,0,0,0,0,0
botpress_botpress,4455,6,0,672,0,0,0,2770,0,0,0,427,0,0,0,0,0,0,0,3143,732,61,0,0,0,580
brandonweiss_charge,2051,81,0,190,0,4,0,1635,78,0,0,56,0,0,0,0,0,0,0,1799,262,8,0,12,0,7
brandonweiss_discharge,120,9,0,8,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,109,11,0,0,0,0,0
broccolijs_broccoli,627,17,0,169,0,0,0,221,169,0,2,49,0,0,0,0,0,0,0,616,79,0,0,30,0,0
brunch_brunch,69450,39,0,10,0,0,0,67302,5,0,1,0,0,0,0,0,0,2044,9,67344,164,0,0,1,0,40
caolan_async,131,11,0,3,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,127,4,0,0,0,0,0
caolan_highland,83,6,0,2,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,81,2,0,0,0,0,0
casbin_node-casbin,3190,170,0,1713,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,565,1824,0,0,0,0,801
cgiffard_node-simplecrawler,972,18,0,710,0,0,0,228,16,0,0,0,0,0,0,0,0,0,0,262,726,16,0,16,0,0
chalk_chalk,1855,50,0,272,0,0,0,1448,0,0,0,0,0,0,0,0,0,83,0,1465,305,0,0,0,0,2
cherow_cherow,171,7,0,128,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,41,130,0,0,0,0,0
codekirei_node-multispinner,43,5,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0
couchbase_couchnode,567,6,0,2,0,0,0,547,3,0,0,9,0,0,0,0,0,0,0,57,512,0,0,2,0,0
creationix_js-git,69,3,0,29,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,40,29,0,0,0,0,0
cytoscape_cytoscape.js,1017,25,0,4,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,166,9,0,0,0,0,842
danielstjules_pjs,42,3,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0
datproject_dat-node,671,16,0,26,0,4,0,575,0,0,0,34,0,0,0,0,0,0,0,625,34,0,0,4,0,16
davesag_jose-simple,101,6,0,20,0,0,0,74,0,0,0,0,0,0,0,0,0,1,0,84,16,0,0,0,0,0
davglass_license-checker,641312,57,0,76,0,0,0,640899,0,0,0,0,0,0,0,0,0,0,0,640675,359,0,0,0,0,280
davidmarkclements_0x,2113,25,0,80,0,0,0,1569,0,0,0,0,0,0,0,0,0,5,0,1271,403,0,0,0,0,434
