repo,stars,forks,openIssues
19majkel94_type-graphql,4118,333,65
Automattic_mongoose,20515,2786,300
Automattic_wp-calypso,11426,1734,2091
BrainJS_brain.js,10876,849,75
Codeception_CodeceptJS,2733,470,445
GoogleChrome_puppeteer,60021,6115,941
Gottwik_enduro,656,112,151
HabitRPG_habitica,7476,3029,329
IndigoUnited_node-proper-lockfile,107,24,6
Javascipt_Jsome,169,22,8
Leonidas-from-XIV_node-xml2js,3940,474,171
Level_levelup,3708,281,4
MrRio_vtop,3546,171,78
NaturalNode_natural,9109,848,86
OptimalBits_bull,8062,837,314
PhilWaldmann_openrecord,448,34,1
QingWei-Li_docsify,13004,2956,106
SGrondin_bottleneck,905,37,24
Swaagie_minimize,146,23,26
TelescopeJS_Telescope,138,33,8
Tjatse_node-readability,298,30,9
TryGhost_Ghost,33196,7206,54
Unitech_pm2,32052,2173,862
VictorBjelkholm_trymodule,1109,37,15
Vincit_objection.js,5036,440,44
actionhero_actionhero,2082,247,15
airbnb_hypernova,5498,233,44
alanshaw_david,915,72,30
alexfernandez_loadtest,1841,164,34
almost_through2-concurrent,73,9,3
andris9_Nodemailer,12368,1093,4
andywer_leakage,1438,45,5
animir_node-rate-limiter-flexible,853,41,5
apache_couchdb-nano,367,118,67
apostrophecms_apostrophe,3089,409,241
archiverjs_node-archiver,1845,191,65
ashtuchkin_iconv-lite,2318,236,42
avajs_ava,17765,1214,160
axa-group_nlp.js,3563,290,80
baconjs_bacon.js,6222,338,63
badges_shields,10548,2755,267
balderdashy_waterline,5162,556,30
bbc_flashheart,110,24,9
bbc_sqs-consumer,812,179,19
bcoe_nyc,4090,287,83
beatfreaker_subdownloader,126,15,3
bee-queue_bee-queue,1799,127,75
bestiejs_benchmark.js,4488,317,32
bitcoinjs_bitcoinjs-lib,3807,1444,32
bitinn_node-fetch,4834,483,50
bokub_gradient-string,411,20,1
bookshelf_bookshelf,5843,526,201
botpress_botpress,8586,1004,112
brandonweiss_charge,278,16,9
brandonweiss_discharge,434,16,11
broccolijs_broccoli,3283,216,20
brunch_brunch,6663,467,145
caolan_async,26452,2379,3
caolan_highland,3274,160,126
casbin_node-casbin,901,78,11
cgiffard_node-simplecrawler,1999,341,58
chalk_chalk,14237,550,12
cherow_cherow,1545,40,0
codekirei_node-multispinner,264,16,6
couchbase_couchnode,425,184,0
creationix_js-git,3636,292,46
cytoscape_cytoscape.js,6530,1210,14
danielstjules_pjs,373,14,1
datproject_dat-node,494,71,33
davesag_jose-simple,28,1,1
davglass_license-checker,1022,149,72
davidmarkclements_0x,1793,85,27
dcodeIO_protobuf.js,6558,1016,378
deepstreamIO_deepstream.io-client-js,253,93,30
devongovett_pdfkit,6041,790,281
diamondio_better-queue,263,27,20
documentationjs_documentation,5003,432,175
dominictarr_JSONStream,1718,163,54
dominikwilkowski_cfonts,552,21,0
dtao_lazy.js,5879,301,60
dthree_cash,7685,237,42
dtjohnson_xlsx-populate,515,106,70
ehmicky_nve,500,10,0
eleith_emailjs,1796,200,17
elpheria_rpc-websockets,235,50,5
esdoc_esdoc,2577,205,153
eslint_eslint,16134,2846,183
expressjs_express,48035,8056,179
facebook_immutable-js,29460,1709,170
facebook_jest,30411,4297,985
fastify_fastify,14047,955,63
faye_faye,4252,392,16
feathersjs_feathers,12307,555,100
feross_multistream,208,23,3
feross_standard,23492,1815,118
feross_webtorrent,21609,2110,163
fivdi_i2c-bus,220,32,1
fivdi_onoff,925,99,2
fuse-box_fuse-box,3965,255,47
gajus_global-agent,82,12,3
gajus_slonik,1391,42,21
gilbitron_Raneto,2211,413,101
gkozlenko_node-video-lib,234,13,3
gulpjs_gulp,31683,4390,29
h2non_toxy,2635,99,14
hapijs_hapi,12250,1253,12
hapijs_joi,14560,1244,13
hapijs_wreck,373,97,3
hexojs_hexo,30052,3886,156
hughsk_from2,121,19,8
i18next_i18next,4847,491,4
iamkun_dayjs,26605,1329,78
imagemin_imagemin,3876,215,59
indexzero_http-server,9320,1082,121
infusion_GPS.js,139,37,2
infusion_node-dhcp,181,49,23
ipfs_js-ipfs,4322,767,309
isaacs_node-tap,1571,222,47
isaacs_rimraf,3690,211,54
isomorphic-git_isomorphic-git,4643,165,127
jahewson_node-byline,287,45,12
jakubpawlowicz_clean-css,3476,294,99
jaredhanson_passport,17183,1013,342
jprichardson_node-fs-extra,6723,591,26
juliangruber_binary-extract,146,5,0
juliangruber_browser-run,360,59,15
kalm_kalm.js,115,9,0
kefirjs_kefir,1659,99,31
kesla_node-snappy,420,44,6
kevva_decompress,287,37,21
kevva_download,956,133,34
kevva_lnfs,10,2,0
kevva_wifi-password-cli,212,13,0
keystonejs_keystone,1873,234,391
khaosdoctor_gotql,248,10,2
koajs_koa,28845,2724,69
kucherenko_jscpd,1587,99,15
lapwinglabs_x-ray,5231,341,63
linuxenko_lessmd,114,4,4
llambda_agilegps,74,50,0
louischatriot_nedb,11180,758,168
lovell_sharp,16111,843,86
luin_ioredis,7398,728,53
